trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,encoded_driving_style,encoded_tire_type
68.5,8.96,1,0,1,13.08,0,0,50,13.08,0,0
51.0,10.4,1,1,1,13.21,0,0,50,13.21,0,0
35.5,5.41,0,1,0,13.21,0,0,50,13.21,0,0
74.6,7.33,0,1,0,13.21,0,0,50,13.21,0,0
27.4,8.93,0,1,0,13.21,0,0,50,13.21,0,0
77.0,5.21,0,1,0,13.21,0,0,50,13.21,0,0
42.7,5.13,0,1,0,13.21,0,0,50,13.21,0,0
54.7,5.53,0,1,1,13.21,0,0,50,13.21,2,0
65.7,7.98,1,1,1,12.15,0,0,50,12.15,0,0
47.6,5.96,1,0,1,12.52,0,0,50,12.52,0,0
95.5,11.16,1,0,1,11.69,0,0,50,11.69,0,0
119.3,14.33,1,1,1,12.01,0,0,50,12.01,0,0
28.1,4.48,1,1,1,12.04,0,0,50,12.04,0,0
47.3,4.6,1,0,1,12.04,0,0,50,12.04,0,0
96.0,10.97,1,0,1,11.43,0,0,50,11.43,0,0
93.7,10.52,1,0,1,11.23,0,0,50,11.23,0,0
65.9,8.0,1,1,1,12.14,0,0,50,12.14,0,0
56.3,6.34,1,0,1,11.26,0,0,50,11.26,0,0
95.4,10.74,1,0,1,11.26,0,0,50,11.26,0,0
93.3,10.43,1,0,1,11.18,0,0,50,11.18,0,0
32.0,8.74,1,1,1,12.45,0,0,50,12.45,0,0
98.0,7.44,1,1,1,12.45,0,0,50,12.45,0,0
47.8,8.76,1,0,1,11.14,0,0,50,11.14,0,0
101.3,7.85,1,0,1,11.14,0,0,50,11.14,0,0
94.4,10.39,1,0,1,11.01,0,0,50,11.01,0,0
62.6,7.46,1,1,1,11.92,0,0,50,11.92,0,0
93.8,11.4,1,1,1,12.15,0,0,50,12.15,0,0
47.9,5.46,1,0,1,11.4,0,0,50,11.4,0,0
128.9,14.32,1,0,1,11.11,0,0,50,11.11,0,0
93.0,10.58,1,0,1,11.38,0,0,50,11.38,0,0
62.7,7.44,0,1,1,11.87,1,0,50,11.87,0,0
64.5,12.63,0,1,1,14.14,0,0,50,14.14,2,0
65.1,5.69,0,1,1,14.14,0,0,50,14.14,2,0
65.4,12.15,0,1,1,14.34,1,0,50,14.34,2,0
64.7,6.51,0,1,1,14.34,1,0,50,14.34,2,0
48.7,5.5,1,0,1,11.29,0,0,50,11.29,0,0
96.2,10.81,1,0,1,11.24,0,0,50,11.24,0,0
95.4,11.09,1,0,1,11.62,0,0,50,11.62,0,0
62.7,7.46,1,1,1,11.9,0,0,50,11.9,0,0
49.6,5.71,1,0,1,11.51,0,0,50,11.51,0,0
95.4,11.32,1,0,1,11.87,0,0,50,11.87,0,0
94.8,10.59,1,0,1,11.17,0,0,50,11.17,0,0
95.1,11.12,1,1,1,11.69,0,0,50,11.69,0,0
77.2,10.4,1,1,1,11.85,0,0,50,11.85,0,0
20.7,1.2,1,1,1,11.85,0,0,50,11.85,0,0
95.5,11.6,1,1,1,12.15,1,0,50,12.15,0,0
63.3,7.49,1,1,1,11.83,1,0,50,11.83,0,0
49.2,5.99,1,0,1,12.17,0,0,50,12.17,0,0
100.0,11.79,1,0,1,11.79,0,0,50,11.79,0,0
96.0,11.34,1,0,1,11.81,1,0,50,11.81,0,0
80.7,9.84,1,1,1,12.19,1,0,50,12.19,0,0
49.4,12.81,1,0,1,11.7,0,0,50,11.7,0,0
114.3,6.35,1,0,1,11.7,0,0,50,11.7,0,0
103.6,11.75,1,0,1,11.34,0,0,50,11.34,0,0
79.0,10.16,1,1,1,12.86,0,0,50,12.86,0,0
64.6,7.82,1,1,1,12.11,0,0,50,12.11,0,0
49.8,6.46,1,0,1,11.99,0,0,50,11.99,0,0
109.8,12.67,1,0,1,11.99,0,0,50,11.99,0,0
107.0,12.21,1,0,1,11.41,0,0,50,11.41,0,0
73.7,8.67,1,1,1,11.76,0,0,50,11.76,0,0
67.8,7.95,1,1,1,11.73,0,0,50,11.73,0,0
50.4,6.12,1,0,1,12.14,0,0,50,12.14,0,0
97.3,10.95,1,0,1,11.25,0,0,50,11.25,0,0
121.6,13.78,1,0,1,11.33,0,0,50,11.33,0,0
73.7,9.32,0,1,1,12.65,0,0,50,12.65,0,0
75.8,9.37,1,1,1,12.36,1,0,50,12.36,0,0
95.6,11.08,1,0,1,11.59,0,0,50,11.59,0,0
97.8,11.43,1,0,1,11.69,0,0,50,11.69,0,0
40.0,13.48,0,1,1,11.8,1,0,50,11.8,0,0
59.9,4.69,0,1,0,11.8,1,0,50,11.8,0,0
68.5,5.88,0,1,0,11.8,1,0,50,11.8,0,0
45.7,7.32,0,1,0,11.8,1,0,50,11.8,0,0
38.5,4.06,0,1,0,11.8,1,0,50,11.8,0,0
