trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,encoded_driving_style,encoded_tire_type
115.0,26.95,0,1,1,18.7,1,0,58.0,7.6,0,0
166.0,35.12,0,1,1,17.1,1,0,58.0,6.000000000000002,0,0
165.0,34.6,0,1,1,17.2,1,0,57.4,6.1,0,0
164.0,36.58,0,1,1,18.3,1,0,56.4,7.200000000000001,0,0
164.0,38.38,0,1,1,18.9,1,0,55.1,7.799999999999999,0,0
110.0,25.52,0,1,1,18.3,1,0,53.9,7.200000000000001,0,0
110.0,26.49,0,1,1,18.9,1,0,51.1,7.799999999999999,0,0
164.0,39.01,0,1,1,19.1,1,0,59.4,8.000000000000002,0,0
164.0,37.56,0,1,1,18.3,1,0,59.1,7.200000000000001,0,0
124.0,24.77,0,1,1,15.8,1,0,54.6,4.700000000000001,0,0
165.0,35.6,0,1,1,17.6,1,0,58.9,6.500000000000002,0,0
168.0,35.95,0,1,1,17.5,1,0,54.3,6.4,0,0
127.0,29.5,0,1,1,19.0,1,0,54.0,7.9,0,0
198.0,44.0,0,1,1,18.7,1,0,51.8,7.6,0,0
180.0,38.25,0,1,1,18.1,1,0,50.5,7.000000000000002,0,0
172.0,36.84,0,1,1,18.1,1,0,50.5,7.000000000000002,0,0
167.0,36.67,0,1,1,17.9,1,0,52.3,6.799999999999999,0,0
185.0,38.17,0,1,1,17.9,1,0,52.3,6.799999999999999,0,0
220.0,44.83,0,1,1,16.7,1,0,56.9,5.6,0,0
244.0,46.27,0,1,1,15.5,1,0,49.1,4.4,0,0
179.0,35.0,0,1,1,16.0,1,0,58.8,4.9,0,0
219.0,42.58,0,1,1,15.8,1,0,57.1,4.700000000000001,0,0
252.0,47.59,0,1,1,15.5,1,0,48.9,4.4,0,0
219.0,42.26,0,1,1,15.8,1,0,52.4,4.700000000000001,0,0
189.0,37.61,0,1,1,16.6,1,0,55.5,5.500000000000002,0,0
214.0,39.43,0,1,1,15.0,1,0,55.6,3.9,0,1
205.0,36.32,0,1,1,14.9,1,0,42.4,3.8000000000000007,0,1
260.0,42.52,0,1,1,13.5,1,0,50.1,2.4000000000000004,0,1
100.0,37.59,0,1,1,13.95,1,0,51.0,2.85,0,1
